Title,Capacity management,Change Management,Financial management,Governance,Monitoring and control,Risk management,Stakeholder management,Strategic alignment,Value management
High performance risk aggregation: Addressing the data processing challenge the Hadoop MapReduce way,3.61,5.63,6.36,5.0,4.47,4.75,3.9,3.44,4.65
"9th International Conference on Knowledge Management in Organizations, KMO 2014",9.82,13.38,8.65,12.69,9.79,8.44,11.26,7.24,10.76
Aspects of data quality that cause impact on business intelligence systems,4.21,4.93,3.31,5.77,4.68,3.16,2.6,3.68,4.4
Virtual project teaming: Incorporation of immersive environments and role-played case study assessments,4.41,4.23,3.31,4.62,4.26,3.87,4.76,3.93,4.65
Combining life cycle assessment with data science to inform portfolio-level value-chain engineering: A Case Study at PepsiCo Inc.,10.02,14.79,12.47,10.77,10.64,10.37,12.12,7.73,10.76
"International Conference on Information Systems, ICIS 2013, Volume 5",19.84,30.99,23.16,29.23,21.91,21.27,25.54,19.02,25.18
Churn prediction for high-value players in casual social games,4.81,6.34,6.11,5.77,5.96,5.62,4.33,5.15,6.11
"International Conference on Information Systems, ICIS 2012, Volume 3",20.04,31.69,22.39,25.38,20.0,20.21,23.38,17.06,24.21
Fixed Income Securities and Derivatives Handbook: Second Edition,5.01,4.93,4.58,4.62,4.04,5.27,3.46,4.05,5.62
"Proceedings of the 8th European Conference on Information Management and Evaluation, ECIME 2014",6.41,7.75,6.62,8.85,6.6,4.92,8.23,4.66,6.6
Improving the prediction of petroleum reservoir characterization with a stacked generalization ensemble model of support vector machines,7.01,5.63,9.16,8.46,9.36,7.38,7.36,6.01,8.07
"19th Americas Conference on Information Systems, AMCIS 2013, Volume 1",20.24,26.06,23.41,26.54,21.06,21.27,26.41,17.42,24.69
Financial risk modelling in vehicle credit portfolio,4.21,4.23,4.83,4.62,6.17,3.87,4.33,3.8,4.65
The cobas P 630 instrument: A dedicated pre-analytic solution to optimize COBAS® AmpliPrep/COBAS® TaqMan® system workflow and turn-around-time,3.21,3.52,5.34,3.85,4.26,4.75,1.73,3.93,3.91
Selecting project management methodologies for business intelligence projects - A value based approach,6.01,7.75,7.38,8.08,6.6,6.15,5.19,5.4,6.85
Towards Software Performance Monitoring: An Approach for the Aerospace Industry,5.61,4.93,8.4,7.69,6.17,6.5,6.93,4.91,6.85
Clustering techniques and their effect on portfolio formation and risk analysis,4.41,3.52,4.83,2.69,4.47,4.04,3.9,3.68,4.65
"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 3",17.43,23.24,21.63,23.85,19.79,19.68,25.11,17.79,23.23
A model-based approach to constructing corporate bond portfolios,3.01,6.34,4.07,4.23,2.98,3.69,2.6,3.8,3.91
Learning/curriculum management systems (LCMS): Emergence of a new wave in medical education,5.81,7.04,5.34,6.92,7.02,6.68,8.23,5.4,6.6
Efficient data structures for risk modelling in portfolios of catastrophic risk using mapreduce,1.6,2.11,3.05,1.92,1.91,2.11,1.73,1.96,1.96
Financial modeling with crystal ball and excel,5.21,2.11,6.36,7.31,5.74,7.21,3.9,5.89,9.05
"International Conference on Information Systems, ICIS 2012, Volume 4",20.04,31.69,22.39,25.38,20.0,20.21,23.38,17.06,24.21
Accounting for secondary uncertainty: Efficient computation of portfolio risk measures on multi and many core architectures,4.81,4.93,6.36,7.31,6.38,5.8,5.19,5.28,5.62
Critical space prediction analysis in building construction-an application of dea-da and topsis,4.61,4.93,5.6,5.0,5.96,5.1,4.33,4.54,6.6
Portfolio mining,2.2,3.52,2.8,2.31,2.34,2.11,1.73,1.96,2.69
"Proceedings - 2014 2nd International Symposium on Computational and Business Intelligence, ISCBI 2014",4.61,6.34,6.87,3.85,5.32,5.27,4.76,4.91,4.89
"International Conference on Information Systems, ICIS 2012, Volume 2",20.04,31.69,22.39,25.38,20.0,20.21,23.38,17.06,24.21
"International Conference on Information Systems, ICIS 2013, Volume 3",19.84,30.99,23.16,29.23,21.91,21.27,25.54,19.02,25.18
"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 4",17.43,23.24,21.63,23.85,19.79,19.68,25.11,17.79,23.23
Including human factors in business ecosystem network to expose & predict budgetary risk,5.21,7.75,7.89,6.54,6.6,7.21,5.19,5.28,6.11
On the basics for simulation of feedback-based stock trading strategies: An invited tutorial session,6.01,3.52,6.36,7.69,5.53,5.62,6.06,4.42,6.85
Banking technology innovations in India: Enhancing customer value and satisfaction,6.01,5.63,6.11,4.62,5.74,5.8,7.79,4.79,6.6
Measuring and Querying Process Performance in Supply Chains: An Approach for Mining Big-Data Cloud Storages,5.61,7.04,6.11,5.38,4.68,5.27,5.63,3.56,4.65
"Proceedings of the 8th Iberian Conference on Information Systems and Technologies, CISTI 2013",4.21,2.82,6.36,5.38,4.89,5.1,5.63,4.54,6.11
The hardware accelerator debate: A financial risk case study using many-core computing,3.01,4.23,4.58,3.46,3.62,4.22,3.03,3.8,3.67
An analytics approach to designing patient centered medical homes,5.61,4.23,5.34,6.54,5.11,5.45,8.23,5.52,4.89
"International Conference on Information Systems, ICIS 2012, Volume 1",20.04,31.69,22.39,25.38,20.0,20.21,23.38,17.06,24.21
"International Conference on Information Systems, ICIS 2013, Volume 2",19.64,30.99,23.16,28.85,21.91,21.09,25.54,18.77,25.18
Squaring the circle: A new alternative to alternative-assessment,3.21,5.63,4.33,5.77,3.62,4.39,3.9,3.44,4.89
EXsight: An analytical framework for quantifying financial loss in the aftermath of catastrophic events,2.81,2.11,3.82,3.46,3.19,2.81,3.46,2.33,4.16
Shine a light on big data,6.21,7.04,3.82,8.46,4.47,4.57,6.49,4.42,6.85
Towards an economic foundation for the decision between agile and plan-driven project management in a business intelligence context,5.81,7.04,6.11,7.31,4.68,5.45,6.49,5.03,6.85
"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 2",17.43,23.24,21.63,23.85,19.79,19.68,25.11,17.79,23.23
"18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 1",17.43,23.24,21.63,23.85,19.79,19.68,25.11,17.79,23.23
Driving continuous improvement by developing and leveraging lean key performance indicators,5.61,5.63,6.11,9.23,7.02,6.15,8.23,5.03,5.62
Real options analysis on strategic partnership dealing of biotech start-ups,6.21,8.45,8.91,8.08,7.87,7.91,10.39,7.24,9.54
"Evolutionary multiobjective optimization in water resources: The past, present, and future",4.01,2.82,5.6,4.23,5.11,4.92,5.19,4.91,4.89
Predictive network analytics for national research investment,8.82,9.86,9.67,11.54,7.02,8.44,8.23,6.99,9.78
QuPARA: Query-driven large-scale portfolio aggregate risk analysis on MapReduce,5.81,7.75,9.41,7.31,6.6,7.91,6.49,6.5,7.58
High-frequency financial statistics with parallel R and Intel Xeon Phi coprocessor,5.01,7.04,6.87,6.54,6.17,7.03,6.06,4.79,6.85
"19th Americas Conference on Information Systems, AMCIS 2013, Volume 2",20.24,26.06,23.41,26.54,21.06,21.27,26.41,17.42,24.69
Data intensive enterprise applications,6.41,9.15,6.11,7.31,4.89,5.27,3.9,5.4,6.11
Parallel simulations for analysing portfolios of catastrophic event risk,4.81,3.52,5.34,6.54,5.74,5.8,3.9,4.79,7.09
Evaluation of enterprise training programs using business process management,4.81,4.93,5.09,5.38,4.04,4.22,3.03,3.68,3.67
E-portfolios in support of informal learning,3.01,2.82,3.31,5.0,3.83,2.99,2.16,3.07,4.4
Finding problem specific shannon information in high dimensional input space for artificial neural networks,8.22,7.75,9.92,9.23,9.57,8.08,6.93,7.85,7.33
"Games, risks, and analytics: Several illustrative cases involving national security and management situations",7.01,5.63,9.41,9.62,8.09,10.19,6.93,6.87,8.56
"15th Americas Conference on Information Systems, AMCIS 2009, Volume 4",8.22,16.2,9.67,10.38,8.94,8.26,13.42,6.99,11.74
Analytics underlying the metallgesellschaft hedge: Short term futures in a multi-period environment,3.21,1.41,4.58,3.08,3.62,3.51,3.03,3.31,4.16
"32nd International Conference on Information System 2011, ICIS 2011, Volume 1",18.24,27.46,24.43,24.23,19.57,19.16,25.54,17.55,23.47
An experimental study of financial portfolio selection with visual analytics for decision support,5.01,5.63,4.83,5.0,4.68,5.1,6.06,4.42,6.11
Probabilistic safety risk analysis in complex domains: Application to unmanned aircraft systems,3.41,4.93,5.6,5.77,6.17,4.92,5.63,4.54,5.13
A survey of open source tools for business intelligence,3.21,4.23,3.82,3.46,2.98,3.87,3.03,2.7,3.91
"32nd International Conference on Information System 2011, ICIS 2011, Volume 4",18.24,27.46,24.43,24.23,19.57,19.16,25.54,17.55,23.47
Calculating quantile-based risk analytics with L-estimators,2.2,4.93,4.58,4.23,2.98,3.69,3.03,3.07,3.91
Too close to the hedge: The case of long term capital management LP Part one: Hedge fund analytics,4.81,4.23,5.09,4.23,3.4,4.39,4.76,4.29,4.89
"16th Americas Conference on Information Systems, AMCIS 2010, Volume 5",6.81,12.68,8.4,11.15,9.57,6.85,7.79,5.77,8.8
"Introduction to Fixed Income Analytics: Relative Value Analysis, Risk Measures, and Valuation",4.81,6.34,4.83,5.77,3.83,4.57,2.6,3.93,4.89
A single solution to intelligent lifecycle management,5.01,7.04,5.6,4.23,4.68,4.75,4.33,4.17,4.65
"16th Americas Conference on Information Systems, AMCIS 2010, Volume 3",7.01,12.68,7.63,10.0,8.51,7.03,9.09,6.01,10.27
"16th Americas Conference on Information Systems, AMCIS 2010, Volume 6",6.81,9.86,8.91,8.85,6.38,6.15,6.49,5.4,8.07
Real time modeling for financial and performance management,5.81,10.56,6.36,7.69,4.89,5.45,6.49,4.54,6.6
Risk analytics for hedge funds,6.01,9.86,7.38,6.54,6.81,7.03,6.06,5.77,5.38
Wealth forever: The analytics of stock markets,3.41,1.41,5.34,5.0,4.26,5.27,3.9,4.54,4.16
Agent-network: a fusion method for heterogeneous business intelligence technologies,5.01,4.93,6.62,6.15,4.68,4.92,6.93,4.05,5.38
"10th Americas Conference on Information Systems, AMCIS 2004",8.02,11.97,8.4,9.62,8.3,6.5,9.52,5.64,8.56
A review of portfolio planning. Models and systems.,4.41,3.52,6.11,3.85,4.68,4.57,4.33,5.4,5.87
Change management: From knowledge about innovative se to capabilities for industrial se projects,11.82,16.9,13.74,18.08,12.55,12.13,12.12,10.67,13.2
ICx acquires Griffen in global marketability drive,2.81,4.23,1.78,2.69,1.7,3.69,1.73,2.33,3.42
"IEEE/IAFE Conference on Computational Intelligence for Financial Engineering, Proceedings (CIFEr)",5.01,2.82,6.87,4.23,6.81,4.39,3.9,4.79,6.36
An identification and classification of enterprise portal functions and features,5.21,7.04,6.62,7.31,5.32,5.27,4.76,3.93,5.87
Healthcare informatics: Improving efficiency and productivity,5.41,5.63,6.87,8.85,6.81,6.33,7.79,6.87,8.8
Beyond VaR: parametric and simulation-based risk management tools,2.61,3.52,3.31,2.69,2.77,3.16,1.73,2.94,3.42
Adjusted case-based software effort estimation using bees optimization algorithm,5.41,7.75,6.11,5.38,7.87,6.68,4.76,5.4,6.85
Performance management goes inside,2.61,3.52,4.07,5.0,4.47,4.04,4.33,3.31,4.65
Notice of Retraction: Fuzzy multi-objective decision making method with incomplete weighting factors information in the solar investment project evaluation,6.61,5.63,7.38,6.15,6.6,6.33,5.19,4.66,7.82
Environmental scanning systems: State of the art and first instantiation,8.22,8.45,10.94,11.54,7.45,9.31,7.79,7.36,10.27
Notice of Retraction: Risk prediction model for construction projects based on rough sets and artificial neural networks,4.01,2.82,4.33,3.46,4.68,3.87,3.03,3.19,5.13
"MIPRO 2006 - 29th International Convention: Digital Economy - 3rd ALADIN, Information Systems Security and Business Intelligence Systems",17.84,23.24,21.12,18.46,17.45,17.22,16.45,14.6,20.29
"13th Americas Conference on Information Systems, AMCIS 2007, Volume 3",6.61,15.49,10.18,11.15,8.51,6.85,11.26,7.24,9.78
Efficient project management by quality improvement of project processes,3.41,4.93,3.82,5.0,4.68,4.22,3.46,3.31,5.38
GIS grids and the business use of GIS data,4.21,5.63,4.58,5.38,3.62,4.75,3.9,3.44,4.89
Managing procurement spend using advanced compliance analytics,7.41,8.45,8.91,11.15,7.87,7.03,10.39,6.01,7.82
Managing the implementation of business intelligence systems: A critical success factors framework,8.02,11.27,9.16,10.38,6.81,7.91,10.82,5.64,9.05
Supporting decision makers with fuzzy cognitive maps: These extensions of cognitive maps can process uncertainty and hence improve decision making in R&D applications.,4.21,6.34,4.58,3.08,3.19,3.69,3.46,3.31,4.65
Process improvement projects shortcomings and resolution,7.21,11.27,9.92,8.85,8.51,7.73,8.23,7.61,9.78
Advances in business analytics at HP laboratories,3.61,4.93,2.8,3.85,2.34,2.99,3.03,2.94,3.67
"Innovative web portal reservoir knowledge base integrates engineering, production, geosciences and economic data sets",8.42,9.86,9.92,8.85,10.0,8.61,9.09,7.24,10.51
A mean-variance analysis of self-financing portfolios,2.4,2.11,2.8,1.54,2.98,3.51,2.6,3.07,3.18
Simulation of adaptive project management analytics,3.61,3.52,4.58,4.23,5.53,10.37,4.76,4.29,5.38
Challenging the power of ERP packages,3.21,8.45,4.33,3.08,4.04,3.34,5.19,2.58,2.69
"2009 International Conference on Business Intelligence and Financial Engineering, BIFE 2009",3.61,8.45,5.09,3.08,4.89,4.04,2.6,3.68,5.62
"16th Americas Conference on Information Systems, AMCIS 2010, Volume 1",5.61,7.75,6.36,9.23,5.96,5.45,7.36,5.15,6.36
"Post-Web era could bring off-the-shelf connectivity, interoperability",2.81,4.93,3.56,5.77,2.77,3.51,3.9,2.21,3.18
Environmental Performance in the Petroleum Industry: Hidden Risks and Value Potential for Strategic Investors,5.21,8.45,4.07,5.0,4.26,5.1,3.9,3.8,5.87
"Convertible bonds: Model, value attribution, and analytics",2.4,2.11,4.07,3.08,4.04,4.04,3.46,3.56,3.91
Risk assessment modelling for the South African construction industry,4.81,11.27,5.34,8.08,6.38,5.27,5.19,4.17,7.33
"32nd International Conference on Information System 2011, ICIS 2011, Volume 3",18.24,27.46,24.43,24.23,19.57,19.16,25.54,17.55,23.47
Designing an e-portfolio for assurance of learning focusing on adoptability and learning analytics,4.01,4.93,4.83,5.0,5.74,6.15,4.76,3.8,5.38
CIT 2007: 7th IEEE International Conference on Computer and Information Technology,4.21,7.04,4.58,4.62,5.53,3.87,4.76,3.19,4.16
Analyzing the impact of credit migration in a portfolio setting,2.61,4.23,5.09,3.46,4.04,4.39,2.6,4.17,4.89
On optimal risk/return-efficient arbitrage portfolio,2.61,0.0,3.31,3.46,3.19,3.69,3.03,3.19,3.67
Economics of development strategies utilising option and portfolio analytics,7.82,7.75,9.67,8.08,8.3,8.61,6.06,8.34,11.0
A new project control model as underlying support for the balanced scorecard formalization,6.21,7.04,7.63,8.46,6.17,5.62,6.49,5.03,6.6
Cross-validation and ensemble analyses on multiple-criteria linear programming classification for credit cardholder behavior,4.21,4.23,4.83,4.62,4.47,3.69,4.33,3.68,5.87
"16th Americas Conference on Information Systems, AMCIS 2010, Volume 2",7.01,10.56,7.63,9.23,7.45,6.15,7.79,5.64,6.85
"Analysis of correlation between CROBEX index value change, investment fund type, investment portfolio and investment funds share value change using data mining techniques",3.81,5.63,5.34,6.15,4.47,4.22,4.76,3.19,6.36
Measurement of performance in the support of variant management; [Performance Measurement zur Untersẗtzung des Variantenmanagements],4.01,6.34,4.07,4.23,4.26,4.22,4.76,3.19,4.65
Information logistics strategy - Analysis of current practices and proposal of a framework,5.81,9.15,5.85,7.31,5.32,4.92,5.19,4.17,5.13
Ontology based metrics - Applying business intelligence on PLM,3.61,3.52,5.6,5.38,2.98,2.46,3.03,2.58,4.4
"16th Americas Conference on Information Systems, AMCIS 2010, Volume 7",7.21,16.2,9.16,10.0,8.3,7.38,8.23,6.87,9.05
Analytics for software development,2.61,5.63,3.05,4.23,3.19,3.51,3.03,1.96,2.69
BI for IT,5.21,6.34,5.6,6.54,5.53,5.8,5.63,3.93,4.65
E-learning seen as an enterprise business process,5.01,5.63,5.09,5.0,4.47,4.22,3.9,3.8,4.16
"Artificial intelligence, information system delivery and analytical capabilities in customer retention and relationship management",4.81,4.23,5.09,5.77,5.11,3.87,3.46,4.17,5.13
Public sector business intelligence -an open source approach,6.01,8.45,7.38,9.62,5.11,5.98,7.79,5.64,5.62
The dynamics of relationship marketing in international sponsorship networks,3.41,7.04,6.11,5.77,6.38,5.62,6.49,5.52,6.36
Targeted optimization of efficiency,1.6,1.41,3.31,1.15,3.4,1.58,3.03,2.21,2.93
A Note on the Analytics and Geometry of Limiting Mean - Variance Investment Opportunity Sets,2.2,1.41,3.31,3.85,2.13,2.99,1.3,2.94,3.42
